SMILES,Score
COCCN(c1nc(Cl)ncc1C)[C@H](C)COC,-5.1
Cc1ccc(N2CCOC2=O)cc1NC(=O)Cc1cn2cccc(C)c2[nH+]1,-8.5
CCn1cc(C(=O)OCC(=O)NC[C@H]2CCCO2)c2ccccc21,-6.3
CC[C@](C)(Nc1cccc(Cl)c1C(N)=O)C(=O)[O-],-5.5
Cn1c(N)c(C(=O)COc2cccc(F)c2)c(=O)n(C)c1=O,-6.1
CCN(CC(=O)NC(C)C)S(=O)(=O)c1ccc(Br)cc1,-5.4
CCOc1ccc(NC(=O)N[C@@H](C)c2ccc3c(c2)OCCO3)c(C)c1,-8.2
C[C@@H](Oc1ccccc1)C(=O)Nc1ccc2c(c1)C(=O)N1CCCC[C@@H]1CCO2,-8.4
Nc1ccc(-c2cc(O)ccc2Cl)c(C(=O)[O-])n1,-6.0
Cc1ccc(N(C)C(=O)c2c3c(cn(-c4ccccc4)c2=O)C(=O)CC(C)(C)C3)cc1C,-8.0
Cc1cccc(C[C@@H]([NH3+])c2nc3ccccc3s2)c1,-7.6
C[C@@H]1C[C@H]1c1ccc(/C=C2\N=C(c3cccs3)OC2=O)o1,-7.3
O=C(Nc1ccc2c(c1)CCC2)C1CCN(c2nnnn2-c2ccccc2)CC1,-7.6
Cc1cc(C)cc(/C(=C2/OC(=O)c3ccccc32)[N+](=O)[O-])c1,-7.4
O=C1c2ccccc2N[C@H](C2=C(c3cccnc3)N=NC2)N1c1ccccc1,-9.3
C[C@H]1c2ccc(F)cc2CCN1C(=O)CSc1nnnn1C,-6.7
Cc1cccc(-n2cccc2/C=C2/C(=O)NC(=O)N(C3CCCCC3)C2=O)c1,-7.1
O=c1c2ccsc2ncn1Cc1nc(Cc2ccccc2)no1,-7.5
Cc1[nH]c2ccccc2c1C(=O)CSc1nnc(Cc2ccccc2F)n1N,-8.1
CCOc1ccc(NC(=O)Nc2ccc(I)cc2)cc1,-6.4
C[C@H]1CN(CCNC(=O)Cc2n[nH]c(=O)c3ccccc23)C[C@H](C)O1,-7.3
O=C(CCC1CC1)Nc1cccc(C[NH+]2CCC(O)CC2)c1,-6.9
O=c1c2ccccc2nnn1Cc1cccc(F)c1,-7.4
Cc1cc(=O)c(C(=O)NO[C@@H]2CCCCO2)nn1-c1ccccc1,-7.7
CN(CC(=O)NCC(F)(F)F)C(=O)c1nnn[n-]1,-6.4
COc1ccc(CNC(=O)c2c(-c3c(Cl)cccc3Cl)noc2C)cc1,-6.7
CCCc1nnc(NC(=O)c2cccc(S(C)(=O)=O)c2)s1,-6.9
C[NH2+][C@H]1[C@H](CN(C)Cc2cscn2)CCC1(C)C,-5.7
COC(=O)c1oc(Cn2nnc(-c3ccc(C)cc3)n2)cc1C,-6.9
C/[NH+]=C(/NCCCc1nnc2n1CCCCC2)NC1CCC(C)(C)CC1,-7.0
C[NH+](C)[C@@H]1CC[C@@H](NC(=O)CCCC(C)(C)C)C1,-5.7
C[C@H]1CN(C(=O)c2cc(S(=O)(=O)N3CCCc4ccccc43)ccc2Cl)C[C@@H](C)O1,-8.1
O=C(Cn1cnc2ccc(Cl)cc2c1=O)N1c2ccccc2OC[C@@H]1c1ccccc1,-8.9
Nc1c(C(=O)Nc2ccccc2Cl)cc([N+](=O)[O-])cc1[N+](=O)[O-],-7.6
O=C(NCCc1ccccc1)NC[C@H](O)c1cccc(F)c1,-7.3
CC(=O)Nc1ccc(S(=O)(=O)N/N=C(\C)c2csc3ccccc23)cc1,-7.4
[NH3+]CCCN(C(=O)N1CCCC1)c1ccc(F)cc1,-5.9
O=C(NCCNC(=O)c1ncccc1C(F)(F)F)c1ccc(O)cc1,-7.2
Cc1cc(C)c(NC(=O)c2ccccc2NC(=O)c2ccccc2)c(C)c1,-7.6
O=C(c1ccoc1)N1CCC[C@H]1c1ccc(Cl)cc1,-5.7
Cc1ccc(CCNC(=O)c2cc(C)c3c(=O)[nH]c([O-])nc3n2)cc1,-7.9
CS[C@H]1CC[C@H](NC(=O)N(C)[C@H](C)c2ccccc2)C1,-6.1
CC[NH+]1CCC(CCNC(=O)N2CC[C@@H](C)[C@H](O)C2)CC1,-5.9
O=C(NCC[C@H](O)c1cccc2ccccc12)c1ccc(Cl)cc1Cl,-6.6
CC(C)(C)n1cc(NCc2ccccc2C(F)(F)F)cn1,-6.8
C[C@@H](SCc1noc(C(C)(C)C)n1)C(=O)Nc1cccc(Cl)c1,-6.0
CCn1nc(C)c2c(C(=O)N[C@H](C)c3ccccc3)cc(C)nc21,-7.5
NC(=O)c1ccc(NC(=O)c2c(Cl)ccc(Cl)c2Cl)cn1,-7.3
COc1cc2c(cc1OC)[C@H](CNC(=O)C1CC1)N(C(=O)NC(C)C)CC2,-7.1
CCOC(=O)c1ccc(NC(=O)COc2c(F)c(F)c(F)c(F)c2F)cc1,-6.4
O=C(CSc1nnc(C2CC2)n1-c1ccccc1)Nc1cc2[nH]c(=O)[nH]c2cc1Br,-6.3
CC(=O)N[C@@H](C)C(=O)N[C@H]1CC[C@H]([NH+](C)C)C1,-5.6
C=CCn1c(SCC(=O)N2CCCCC2)nnc1-c1ccc(Cl)cc1,-6.1
C[C@H](Nc1nc(CN2CCOCC2)nc2sc3c(c12)CCC3)c1ccccc1,-8.4
O=C(NCCc1ccccc1F)C(=O)Nc1ccc(OC(F)F)cc1,-6.7
O=C(NCc1cc[nH+]c(N2CCCC2)c1)N1CCC[C@@H]1CCc1ccccc1,-7.9
CCOCCN(C)C(=O)[C@@]12CCC(=O)N1c1cc(Cl)ccc1S2,-5.7
C[C@H](NC(=O)N(C)CCc1ccccn1)c1cccc2ccccc12,-7.7
Cc1ccc(CC(=O)N(CC[NH+](C)C)Cc2cccc(Cl)c2)cc1O,-6.9
COc1ccc2nc(Nc3ccc4c(c3)CCC4)sc2c1,-7.4
COc1cc([C@H]2Nc3c(C(=O)N4CCC(C)CC4)cccc3[C@@H]3C=CC[C@@H]23)ccc1O,-9.3
CC[NH+](CCC(=O)[O-])[C@@H]1CSCC(C)(C)C1,-4.8
CCOc1ccccc1S(=O)(=O)Nc1ccc2c(c1)CN(C(C)=O)CC2,-6.8
Cc1ccc(C2=NN(CC#N)C(=O)SC2)cc1,-6.2
CC[C@H](C)C(=O)/N=C1/S[C@@H]2CS(=O)(=O)C[C@@H]2N1c1ccc2c(c1)OCCO2,-7.2
Cn1cc(/C=N/NC(=O)CNc2cccc3ccccc23)c2ccccc21,-8.4
CCCCCC[C@]1(C)NC(=O)NC1=O,-5.1
C[C@H]1CCC[C@H](C)N1C(=O)COc1ccc(C(=O)N2CCc3c(sc4ncnc(N)c34)C2)cc1,-7.9
C[C@H]1SCCC[C@@]1(C[NH3+])N(C)Cc1ccc(F)cc1,-5.2
COc1ccc([C@H]2[C@@H]3SC(=O)N=C3S[C@@H](C(=O)[O-])[C@H]2C(=O)c2ccc3c(c2)CCCC3)cc1,-7.9
Cc1ccc(-c2nc(CNC(=O)c3cc[nH]n3)[nH]c2-c2ccccn2)cc1,-9.4
CCOC(=O)C1=C(C)N(CCc2cccs2)C(=O)N[C@H]1c1cccc(C#N)c1,-7.4
Cc1nn(CCS(C)(=O)=O)c(C)c1[C@H](C)[NH2+]C1C[C@@H](C)O[C@H](C)C1,-5.8
CCS(=O)(=O)CCC[C@H]([NH3+])[C@@H]1CN(C(C)C)CCO1,-4.9
COc1ccc(NC(=O)[C@H](NC(=O)c2cccs2)C(C)C)c(OC)c1,-6.3
CCOc1ccc(C[NH+]2CCN(S(C)(=O)=O)CC2)cc1OC,-6.0
Fc1ccccc1-c1noc(Cc2nnc(-c3ccc(Cl)cc3)o2)n1,-7.4
C[C@H]1CC[C@@H](C)[NH+]([C@@H]2CCC[C@@](CO)([NH2+]C3CC3)C2)C1,-5.9
C[C@@H](c1nc2ccccc2s1)N(C)C(=O)CC1=c2ccccc2=[NH+]C1,-7.6
NNOC(=O)CCN1CC(=O)N2CCCC[C@H]2C1=O,-7.1
COC(=O)[C@H](C)NC(=O)c1ccc(F)cc1Br,-6.1
CN(C)c1ccc(CNC(=O)c2cc(F)cc3[nH]cnc23)cc1,-7.6
CO[C@@H](C[NH2+][C@@H]1CCCC[C@@H]1SC)c1ccc(F)cc1,-6.5
O=C1C[NH+](C2CCC(c3ccc(O)cc3)CC2)[C@H]2CCCC[C@H]2N1,-8.0
Cc1ccc(CN(C)C(=O)NCC2(c3ccc(F)cc3F)CC2)s1,-6.4
COc1ccc(C2=NN(C(=O)CCl)[C@H](c3ccc(C)cc3)C2)cc1,-7.5
C[C@H](C(=O)NCC(=O)[O-])N1C(=O)/C(=C/c2ccc(O)cc2)SC1=S,-6.7
O=C(c1ccc(S(=O)(=O)N2CCCC2)cc1)N1CCN(C(=O)C2CC2)CC1,-6.6
C[NH+]1CCCC[C@@H]1C(=O)N[C@H](CO)Cc1c[nH]c2ccccc12,-7.4
C[C@@H]([C@@H]1CCCC[NH2+]1)N1C(=O)C(C)(C)S1(=O)=O,-5.6
C[NH+](C)C1(C(=O)N2CCC(c3nc4ccccc4o3)CC2)CCC1,-7.3
C[C@@H]1Oc2c(cccc2C(=O)N(Cc2cccs2)Cc2cccs2)NC1=O,-7.1
CC(C)COC1CCN(C(=O)N[C@@H]2CCCc3ccc(F)cc32)CC1,-7.0
COc1cccc([C@H]2CC(=O)NC3=C2C(=O)C[C@H](c2cc(OC)c(OC)c(OC)c2)C3)c1,-6.9
Cc1cc2ncc([C@H](C)[NH2+][C@@H](C)c3cc4cc(Cl)ccc4o3)c(C)n2n1,-7.8
COc1cccc([C@H]2CCCN2C(=O)Nc2ccc(N3CCCC3=O)cc2)c1,-7.7
CN(C(=O)c1cc2ccccc2n1C)[C@@H]1CCCC[C@H]1S(C)(=O)=O,-6.6
Cc1ccc(-c2ncco2)cc1NC(=O)CCC(=O)Nc1nccs1,-7.2
COc1cc(F)c([N+](=O)[O-])c(SCCN2CCOCC2)c1,-5.7
Oc1c(F)cc(CN2CCO[C@H](c3ccccc3Br)C2)cc1F,-7.5
C[NH2+][C@H](CSC(C)C)Cc1nc(C(C)(C)C)cs1,-4.9
CC(C)OCCC(=O)N(C)[C@@H](C)c1cc(F)ccc1F,-5.4
Cc1cccc([C@H](C(=O)NCCCn2cc(Cl)cn2)N(C)C)c1,-6.4
C=CCSC1=N[C@@H](c2ccccc2)/C(=C(/[O-])OCC)C(C)=N1,-6.0
CCC(=O)Nc1ccc(C(=O)Cn2ncnc2-c2cccc(C#N)c2)cc1,-6.4
COc1ccc(NS(=O)(=O)CCc2ccccc2)cn1,-5.6
CN(Cc1cccc(F)c1)c1ncnc2c1cnn2-c1ccccn1,-7.8
O=C(Nc1ccc(Br)cc1F)N[C@@H]1CC(=O)N(c2ccc(F)cc2)C1,-7.8
COc1ccccc1/C=C/CN1CCO[C@@H](c2cccs2)C1,-6.7
C=C(C)Cc1c(C)nc(-c2ccc(Cl)cc2)[nH]c1=O,-6.3
CCCCn1c(N2CCN(Cc3c(F)cccc3Cl)CC2)nc2c1c(=O)[nH]c(=O)n2C,-7.0
CC(C)[C@@H](C[NH2+][C@@H]1CCCC1(C)C)N1CC[NH+](C)CC1,-5.3
CN(C)c1ccc(F)cc1Cl,-5.0
CCOc1ccc(-n2c(C)nc3nc([NH+]4CCCC4)nc([O-])c3c2=S)cc1,-6.9
C[C@@H]1CC(C)(C)CC[C@@H]1NC(=O)c1cnc([C@@H]2CCCO2)s1,-6.2
C[C@@H]1OCC[C@@H]1C(=O)NC[C@@H](C)CO,-5.2
CCC[NH2+][C@@H](C)c1cnn([C@H]2CCOC3(CCCC3)C2)c1,-6.2
CCCCS(=O)(=O)c1nc2nc(C)c(Br)c(C)c2s1,-5.5
NC(=O)CN1C(=O)[C@@](O)(CC(=O)c2ccc(Cl)cc2Cl)c2ccccc21,-6.6
CCc1c(C)nc(SCC(=O)Nc2sc3c(c2C#N)CCC3)c(C#N)c1C,-6.2
CCc1cccc(C)c1NC(=O)Cn1c(=O)cc(C(=O)N2CCCCC2)c2ccccc21,-7.5
Cc1noc(C)c1CC(=O)N[C@H](C)Cc1cccc(Cl)c1,-6.6
CN(C)C(=O)[C@@H]1CCCN1C(=O)COc1ccc2c(c1)CCC(=O)N2,-7.5
CN(Cc1ccccc1)C(=O)c1ccc(NS(=O)(=O)c2ccc(F)c(F)c2)cc1,-6.9
Cc1csc(CN2CCC(=O)[C@@H](C)[C@@H]2C)n1,-5.9
C=CCNC(=O)[C@H](C)N[C@H](C)c1ccccc1C(F)(F)F,-6.2
C[C@H]([NH3+])[C@@H](C)c1cccc(OC(F)(F)F)c1,-5.4
COCCN(Cc1cccnc1)C(=O)Cc1c[nH]c2ccccc12,-6.8
O=C(CCNC(=O)c1cc(F)ccc1Br)Nc1ccc(CN2C(=O)CSC2=O)cc1,-6.5
O=C(OCc1csc(Br)c1)c1cccc2c1OCCO2,-6.0
CCCCNC(=S)NNC(=O)c1nn(C)c(C)c1Cl,-5.9
O=S(=O)(NCCN1CCO[C@@H](c2ccccc2)C1)c1ccccc1Cl,-7.1
COc1ccc(S(=O)(=O)Nc2ccc(C)cc2O)cc1,-6.6
O=C(c1ccncc1)N1CCSc2ccccc21,-7.1
O=C(c1ccc([N-]S(=O)(=O)c2cccs2)cc1)N1CCc2ccccc2C1,-6.8
COCc1nc2n(n1)C[C@@H]([NH2+][C@@H](Cc1ccc(C)cc1)C(C)C)CC2,-6.9
O=C(/C=C\c1ccco1)NC(=S)N1CCCCC1,-6.1
COc1cccc(NC(=O)C[NH+]2CCC[C@H](C(F)(F)F)C2)c1,-6.2
COc1ccc(NC(=O)COc2ccccc2C)c(N)c1,-6.6
CCn1nc(C)c(C[NH+](C)Cc2cccc(OC(F)(F)F)c2)c1C,-5.6
Cc1nc2ccccc2n1CCNc1cccc(F)n1,-7.6
c1ccc(CCOC2CCN(Cc3cnc(C4CC4)s3)CC2)cc1,-6.1
CN(C)C(=O)CN(CC(F)(F)F)C(=O)CCCO,-6.1
COC[C@@H]1CCCN(C(=O)c2ccc(NCc3ccncc3C)nc2)C1,-8.0
CC(C)C[NH2+]Cc1ccc(COc2ccccc2Br)nc1,-5.6
O=C([C@H]1C[C@H](O)C[NH2+]1)N1CCC2(CC1)c1nc[nH]c1CCN2C(=O)C1CCC1,-7.7
COC(=O)c1cc(C)cs1,-4.9
CC(C)n1cc(NCc2cc(F)ccc2Br)cn1,-6.4
CS(=O)(=O)c1ccc(C(=O)NCc2cc[nH]n2)cc1,-7.3
CCN1CCO[C@H](C[NH2+]C[C@@H]2COCCO2)C1,-5.5
COCCN1C(=O)NC(=N)[C@@]12CCCC[C@@H]2C,-5.6
Cc1nn(C)c(C)c1CCC[NH2+][C@H](C)c1cccnc1,-6.3
Cc1cccc(N2C[C@@H](c3nc4ccccc4n3C[C@@H](O)COc3ccccc3)CC2=O)c1,-7.8
c1ccc(COc2cccc(C[NH2+]C3CCCC3)c2)cc1,-6.7
O=C(CCn1cccc1)Nc1cccc(Cl)c1,-6.5
Cc1ccc(NS(=O)(=O)c2ccc3c(c2)NC(=O)C[C@H](C)S3)cc1N(C)C,-6.7
Cc1ccc(S(=O)(=O)N2CCCN(C(=O)CCl)C2)cc1,-6.4
COc1ccc(Cl)cc1N1C[C@@H](C(=O)N(C)OC)CC1=O,-6.6
Cc1ccc(C(=O)Nc2nn(C)c3c2[C@H](c2ccco2)CC(=O)N3)cc1[N+](=O)[O-],-7.5
O=C(Cn1nc2n(c1=O)-c1ccccc1C1=[NH+]CCCN12)NCc1ccccc1F,-8.0
Cc1ccc(C2=N/C(=C3/C=CC=CC3=O)N(O)[C@@H]2C)cc1,-7.5
N#Cc1cccc(COC(=O)CNC(=O)c2ccc(N3CCCC3=O)cc2)c1,-7.1
COc1cc(F)cc(CNC(=O)c2cc(C(C)=O)cn2C)c1,-7.4
Cc1cc(-n2c(C)cc(C(=O)COC(=O)c3c(Cl)ccc(Cl)c3Cl)c2C)no1,-7.3
CC(C)CCN[C@H]1CC[NH+](Cc2ccccc2)C1,-5.5
Cc1nc(COC(=O)[C@@H](Oc2ccc(F)cc2F)C(C)C)no1,-6.7
[NH3+]Cc1ccnn1C[C@@H]1C[C@H]2CC[C@@H]1C2,-5.5
C[C@@H](Cn1ccnc1)[NH2+]C1CCC(c2ccccc2)CC1,-6.5
O=C(N[C@@H]1C=C[C@H](C(=O)[O-])C1)c1cn2ccccc2n1,-6.5
Cc1cccc(Nc2nnc(SCC(=O)N3CC(=O)Nc4ccccc43)s2)c1,-8.7
CN(C)[C@H](C(=O)N1CCN(c2cnccn2)CC1)c1ccccc1,-6.7
COCCc1cc(NC(=O)N2C[C@H]3CCC[NH+]3C[C@H]2C)n(C)n1,-6.6
Cc1ccc(C[NH+]2CCC[C@@](C)(CO)C2)cc1F,-6.6
CC(C)NC(=O)CN1CCN(C(=O)N[C@@H]2CCN(CC(F)(F)F)C2)CC1,-5.8
CC[C@H]1C(=O)N[C@H](C2CC2)C(=O)N1C1C(C)(C)C1(C)C,-6.0
Cc1ccc(S(=O)(=O)N2CCC[NH+](Cc3nc(-c4ccccc4)no3)CC2)cc1,-7.5
CC(C)c1nncn1CCNC(=O)c1cc([N+](=O)[O-])ccc1Cl,-7.7
CCc1ccc(Cl)c(CC)c1NC(=O)N1CCN(c2cc[nH+]cc2)CC1,-6.4
Cc1cc(=O)oc2cc(CN3CCN4C(=O)CN(C)C(=O)[C@H]4C3)ccc12,-7.6
Fc1ccc(-c2nc(COc3ccccc3)co2)cc1,-7.5
O=C(Nc1ccc(CN2CCCC2=O)cc1)[C@H]1CCCc2ccccc21,-6.9
Cc1oc(C(=O)N2CC[C@H]3CC[C@@H](C2)[NH+]3C(C)C)cc1S(N)(=O)=O,-7.8
CC(=O)Nc1ccc(NC(=O)c2cccc(S(=O)(=O)N3CCN(C(C)=O)CC3)c2)cc1,-7.6
C[C@@](O)(CNC(=O)c1cc(Cl)cc2cccnc12)c1ccc(F)cc1,-8.1
COc1cccc(C(=O)N2CCN(C(=O)Cn3cnc4ccccc43)CC2)c1,-7.1
OC[C@H]([NH2+]Cc1ccc(-c2ccccc2)cc1)c1ccccc1,-7.4
C[C@@H]1CCC[C@H](NC(=O)C(=O)Nc2ccc3nc(C4CC4)oc3c2)C1,-7.2
CC(C)Oc1ccc([C@@]2(C(C)C)CCC[NH2+]2)cc1,-5.5
N#Cc1nc(-c2ccco2)oc1N1CC[NH+](CCOc2c(Cl)cccc2Cl)CC1,-7.0
Cc1cccc(-c2[nH]ncc2CN(C)[C@H](C)CS(C)(=O)=O)c1,-6.0
CCCCSC(=O)Nc1ccc(Br)cc1,-4.8
O=C(COc1ccc(F)c(Cl)c1)O[C@@H]1CCC[C@H]1n1cccn1,-7.0
O=C(c1ccc(S(=O)(=O)N2CCc3ccccc3C2)cc1)N1CCN(c2ccc(F)cc2)CC1,-7.7
C/C=C(/C)C(=O)Nc1cc(C(=O)NCC(F)(F)F)ccc1C,-7.1
CC(C)(C)c1ccc(C2(/C([O-])=N/c3ncn[nH]3)CC2)cc1,-7.2
CC(C)(C)CC(=O)NNC(=O)c1cc(Cl)c[nH]1,-6.8
O=S(=O)(c1ccc(Br)s1)N1CCN(c2ncccn2)CC1,-6.9
C[C@H](N[C@H](C(=O)N1CCCCC1)c1ccccc1)c1ccc([S@](C)=O)cc1,-6.9
C#CCOCC1CCN(C(=O)c2ccc([N+](=O)[O-])s2)CC1,-5.3
COc1ccc(S(=O)(=O)N2CCC(C(=O)N3CCc4sccc4[C@H]3c3ccccc3)CC2)cc1,-7.6
